All Transactions Activity Types

Account Activity for Stocks -0067 from LAST 7 Days

Total:,727.17

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
02/19/26,02/19/26,02/19/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-212.49,0.0,--,--
02/19/26,02/19/26,02/19/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,212.49,0.0,--,--
02/18/26,02/18/26,02/18/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-514.68,0.0,--,--
02/18/26,02/18/26,02/18/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,514.68,0.0,--,--
02/18/26,02/18/26,02/19/26,Sold Short,PUT  IWM    02/27/26   260.000,IWM,--,-1.0,2.13,212.49,0.51,--,--
02/17/26,02/17/26,02/17/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-619.29,0.0,--,--
02/17/26,02/17/26,02/17/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,619.29,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.057,94.6,-99.99,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.183,84.49,-99.95,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.222,448.56,-99.58,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.506,66.36,-99.94,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.364,274.25,-99.83,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.16,624.12,-99.86,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.783,127.67,-99.97,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.797,111.275,-199.96,0.0,--,--
02/17/26,02/17/26,02/18/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.332,300.395,-99.73,0.0,--,--
02/17/26,02/17/26,02/18/26,Sold Short,PUT  SPY    03/20/26   648.000,SPY,--,-1.0,5.14,513.49,0.51,--,--
02/17/26,02/17/26,02/16/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:12881998395,--,--,,,1000.0,0.0,--,--



"For all accounts, the Activity Date and the Processing Date are displayed. However, for Morgan Stanley and Co. and Externally Held accounts, only the Activity Date is available; therefore, the Processing Date listed for these accounts will be equivalent to the Activity Date. Please rely on the official account statements of your Morgan Stanley & Co. or Externally Held account for the actual Processing Date of any of these assets, and refer to the definitions section for more information on these categories."

"The information provided with respect to your employee stock option plan (""ESOP"") was obtained from third party sources which Morgan Stanley believes to be reliable. However, we make no representation or guarantee that the information is accurate or complete. There may be other requirements, details, and criteria governing your ESOP. Please refer to the documentation provided by your employer for the terms and conditions governing your ESOP."

E*TRADE from Morgan Stanley credits and offers may be subject to U.S. withholding taxes and reporting at retail value. Taxes related to these credits and offers are the customer's responsibility.

"Under the Bank Deposit Program, free credit balances held in an account(s) at Morgan Stanley Smith Barney LLC are automatically deposited into an interest bearing deposit account(s), at FDIC-insured banks. For more information, view the Bank Deposit Program Disclosure Statement."

